Object Complete Name,Trend,Date,Milli,Quality,Unit,Value
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:06,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:10,914,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:14,897,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:18,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:22,903,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:26,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:30,903,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:34,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:38,903,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:42,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:46,904,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:50,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:54,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:05:58,914,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:02,897,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:06,899,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:10,901,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:14,912,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:18,912,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:22,912,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:26,912,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:30,897,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:34,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:38,897,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:42,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:46,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:50,914,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:54,897,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:06:58,899,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:02,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:06,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:10,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:14,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:18,902,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:22,907,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:26,914,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:30,913,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:34,916,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:38,898,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:42,901,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:46,913,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:50,913,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:54,913,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:07:58,898,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:02,908,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:06,908,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:10,916,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:14,903,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:18,908,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:22,913,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:26,898,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:30,914,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:34,913,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:38,916,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:42,909,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:46,908,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:50,911,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:54,904,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:08:58,903,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:09:02,906,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:09:06,903,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:09:10,908,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:09:14,908,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:09:18,911,0,MW,-0.34
HELIOS SS / 138KV / BAY1 - LINE1 / MEASUREMENT / ACTIVE POWER,ACTIVE POWER,17/04/2024 05:09:22,913,0,MW,-0.34
